metric,value
algorithm,finite_horizon_bellman_reservation_policy
critical_api_call_weight,7.010060789009252
critical_api_call_weight_denominator,1682870
critical_api_call_weight_numerator,11797021
equal_depth_routing_signature,time-tight:merchant-3|token-tight:merchant-2
failure_penalty,220
first_buy_api_call_weight,8
hard_constraint_action_signature,relaxed:continue|time-tight:buy|token-tight:buy|api-tight:buy|api-spend-tight:buy|combined:buy|price-capped:continue
hard_constraint_action_switch,True
hard_constraint_buy_count,5
hard_constraint_continue_count,2
hard_constraint_scenario_count,7
merchant_count,8
observed_offer_action_switch,True
observed_price,110
price_capped_limit,100
random_seed,20260723
reservation_surface_monotone,True
